Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"400 metres Freestyle, Women",Camille Muffat,FRA,Allison Schmitt,USA,Becky Adlington,GBR,2012,Swimming,,,,,
"800 metres Freestyle, Women",Katie Ledecky,USA,Mireia Belmonte,ESP,Becky Adlington,GBR,2012,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",Australia,AUS,Netherlands,NED,United States,USA,2012,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Women",United States,USA,Australia,AUS,France,FRA,2012,Swimming,,,,,
"100 metres Backstroke, Women",Missy Franklin,USA,Emily Seebohm,AUS,Aya Terakawa,JPN,2012,Swimming,,,,,
"200 metres Backstroke, Women",Missy Franklin,USA,Anastasiya Zuyeva,RUS,Elizabeth Beisel,USA,2012,Swimming,,,,,
"100 metres Breaststroke, Women",RÅ«ta MeilutytÄ,LTU,Rebecca Soni,USA,Satomi Suzuki,JPN,2012,Swimming,,,,,
"200 metres Breaststroke, Women",Rebecca Soni,USA,Satomi Suzuki,JPN,Yuliya Yefimova,RUS,2012,Swimming,,,,,
"100 metres Butterfly, Women",Dana Vollmer,USA,Lu Ying,CHN,Alicia Coutts,AUS,2012,Swimming,,,,,
"200 metres Butterfly, Women",Jiao Liuyang,CHN,Mireia Belmonte,ESP,Natsumi Hoshi,JPN,2012,Swimming,,,,,
"200 metres Individual Medley, Women",Ye Shiwen,CHN,Alicia Coutts,AUS,Caitlin Leverenz,USA,2012,Swimming,,,,,
"400 metres Individual Medley, Women",Ye Shiwen,CHN,Elizabeth Beisel,USA,Li Xuanxu,CHN,2012,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,Australia,AUS,Japan,JPN,2012,Swimming,,,,,
"Singles, Men",Zhang Jike,CHN,Wang Hao,CHN,Dimitrij Ovtcharov,GER,2012,Table Tennis,,,,,
"Team, Men",People's Republic of China,CHN,Republic of Korea,KOR,Germany,GER,2012,Table Tennis,,,,,
"Singles, Women",Li Xiaoxia,CHN,Ding Ning,CHN,Feng Tianwei,SGP,2012,Table Tennis,,,,,
"Team, Women",People's Republic of China,CHN,Japan,JPN,Singapore,SGP,2012,Table Tennis,,,,,
"Flyweight, Men",Joel GonzÃ¡lez,ESP,Lee Dae-Hun,KOR,Ãscar MuÃ±ozAleksey Denisenko,COLRUS,2012,Taekwondo,,,,,
"Featherweight, Men",Servet TazegÃ¼l,TUR,Mohammad Bagheri Motamed,IRI,Rohullah NikpaiTerrence Jennings,AFGUSA,2012,Taekwondo,,,,,
"Welterweight, Men",SebastiÃ¡n Crismanich,ARG,NicolÃ¡s GarcÃ­a,ESP,Lutalo MuhammadMauro Sarmiento,GBRITA,2012,Taekwondo,,,,,
"Heavyweight, Men",Carlo Molfetta,ITA,Anthony Obame,GAB,Liu XiaoboRobelis Despaigne,CHNCUB,2012,Taekwondo,,,,,
"Flyweight, Women",Wu Jingyu,CHN,Brigitte YagÃ¼e,ESP,Lucija ZaninoviÄChanatip Sonkham,CROTHA,2012,Taekwondo,,,,,
"Featherweight, Women",Jade Jones,GBR,Hou Yuzhuo,CHN,MarlÃ¨ne HarnoisTseng Li-Cheng,FRATPE,2012,Taekwondo,,,,,
"Welterweight, Women",Hwang Gyeong-Seon,KOR,Nur Tatar,TUR,Paige McPhersonHelena Fromm,USAGER,2012,Taekwondo,,,,,
"Heavyweight, Women",Milica MandiÄ,SRB,Anne-Caroline Graffe,FRA,Anastasiya BaryshnikovaMarÃ­a Espinoza,RUSMEX,2012,Taekwondo,,,,,
"Singles, Men",Andy Murray,GBR,Roger Federer,SUI,Juan MartÃ­n del Potro,ARG,2012,Tennis,,,,,
"Doubles, Men",United States 2,USA,France 1,FRA,France 2,FRA,2012,Tennis,,,,,
"Singles, Women",Serena Williams,USA,Mariya Sharapova,RUS,Vika Azarenka,BLR,2012,Tennis,,,,,
"Doubles, Women",United States 2,USA,Czech Republic 2,CZE,Russian Federation 1,RUS,2012,Tennis,,,,,
"Doubles, Mixed",Belarus,BLR,Great Britain,GBR,United States 1,USA,2012,Tennis,,,,,
"Individual, Men",Dong Dong,CHN,Dmitry Ushakov,RUS,Lu Chunlong,CHN,2012,Trampolining,,,,,
"Individual, Women",Rosie MacLennan,CAN,Huang Shanshan,CHN,He Wenna,CHN,2012,Trampolining,,,,,
"Olympic Distance, Men",Alistair Brownlee,GBR,Javier GÃ³mez,ESP,Jonny Brownlee,GBR,2012,Triathlon,,,,,
"Olympic Distance, Women",Nicola Spirig,SUI,Lisa NordÃ©n,SWE,Erin Densham,AUS,2012,Triathlon,,,,,
"Volleyball, Men",Russian Federation,RUS,Brazil,BRA,Italy,ITA,2012,Volleyball,,,,,
"Volleyball, Women",Brazil,BRA,United States,USA,Japan,JPN,2012,Volleyball,,,,,
"Water Polo, Men",Croatia,CRO,Italy,ITA,Serbia,SRB,2012,Water Polo,,,,,
"Water Polo, Women",United States,USA,Spain,ESP,Australia,AUS,2012,Water Polo,,,,,
"Bantamweight, Men",Om Yun-Chol,PRK,Wu Jingbiao,CHN,Tráº§n LÃª Quá»c ToÃ n,VIE,2012,Weightlifting,,,,,
"Featherweight, Men",Kim Un-Guk,PRK,Ãscar Figueroa,COL,Eko Irawan,INA,2012,Weightlifting,,,,,
"Lightweight, Men",Lin Qingfeng,CHN,Triyatno,INA,â,â,2012,Weightlifting,,,,,
"Middleweight, Men",Lu Xiaojun,CHN,Lu Haojie,CHN,IvÃ¡n Cambar,CUB,2012,Weightlifting,,,,,
"Light-Heavyweight, Men",Adrian ZieliÅski,POL,Kianoush Rostami,IRI,Tarek Yahia,EGY,2012,Weightlifting,,,,,
"Middle-Heavyweight, Men",Saeid Mohammadpour,IRI,Kim Min-Jae,KOR,Tomasz ZieliÅski,POL,2012,Weightlifting,,,,,
"Heavyweight, Men",Navab Nassirshalal,IRI,BartÅomiej Bonk,POL,Ivan Yefremov,UZB,2012,Weightlifting,,,,,
"Super-Heavyweight, Men",Behdad Salimi,IRI,Sajjad Anoushiravani,IRI,â,â,2012,Weightlifting,,,,,
"Flyweight, Women",Wang Mingjuan,CHN,Hiromi Miyake,JPN,Ryang Chun-Hwa,PRK,2012,Weightlifting,,,,,
"Featherweight, Women",Hsu Shu-Ching,TPE,Citra Febrianti,INA,Yuliya Paratova,UKR,2012,Weightlifting,,,,,
"Lightweight, Women",Li Xueying,CHN,Pimsiri Sirikaew,THA,Rattikan Kulnoi,THA,2012,Weightlifting,,,,,
"Middleweight, Women",Christine Girard,CAN,Milka Maneva,BUL,Luz Acosta,MEX,2012,Weightlifting,,,,,
"Light-Heavyweight, Women",Rim Jong-Sim,PRK,â,â,Anna NurmukhambetovaUbaldina Valoyes,KAZCOL,2012,Weightlifting,,,,,
"Heavyweight, Women",Lydia ValentÃ­n,ESP,Abir Abdulrahman,EGY,Madias Nzesso,CMR,2012,Weightlifting,,,,,
"Super-Heavyweight, Women",Zhou Lulu,CHN,Tatyana Kashirina,RUS,Jang Mi-Ran,KOR,2012,Weightlifting,,,,,
"Featherweight, Greco-Roman, Men",Hamid Sourian,IRI,RÃ¶vÅÉn Bayramov,AZE,PÃ©ter MÃ³dosMingiyan Semyonov,HUNRUS,2012,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Omid Norouzi,IRI,Revaz Lashkhi,GEO,Ryutaro MatsumotoZaur Kuramagomedov,JPNRUS,2012,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Kim Hyeon-U,KOR,TamÃ¡s LÅrincz,HUN,Steeve GuÃ©notManuchar Tskhadaia,FRAGEO,2012,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Roman Vlasov,RUS,Arsen Julfalakyan,ARM,Emin ÆhmÉdovAleksandras KazakeviÄius,AZELTU,2012,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Alan Khugayev,RUS,Karam Gaber,EGY,Daniyal GadzhiyevDamian Janikowski,KAZPOL,2012,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",Ghasem Rezaei,IRI,Rustam Totrov,RUS,Artur AleksanyanJimmy Lidberg,ARMSWE,2012,Wrestling,,,,,
"Super-Heavyweight, Greco-Roman, Men",MijaÃ­n LÃ³pez,CUB,Heiki Nabi,EST,Johan EurÃ©nRÄ±za Kayaalp,SWETUR,2012,Wrestling,,,,,
"Featherweight, Freestyle, Men",Dzhamal Otarsultanov,RUS,Vladimer Khinchegashvili,GEO,Shinichi YumotoYang Kyong-Il,JPNPRK,2012,Wrestling,,,,,
"Lightweight, Freestyle, Men",ToÄrul ÆsgÉrov,AZE,Besik Kudukhov,RUS,Yogeshwar DuttColeman Scott,INDUSA,2012,Wrestling,,,,,
"Welterweight, Freestyle, Men",Tatsuhiro Yonemitsu,JPN,Sushil Kumar,IND,Akzhurek TanatarovLivÃ¡n LÃ³pez,KAZCUB,2012,Wrestling,,,,,
"Middleweight, Freestyle, Men",Jordan Burroughs,USA,Sadegh Goudarzi,IRI,Denis TsargushGÃ¡bor Hatos,RUSHUN,2012,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",ÅÉrif ÅÉrifov,AZE,Jaime Espinal,PUR,Dato MarsagishviliEhsan Lashgari,GEOIRI,2012,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Jake Varner,USA,Valeriy Andriytsev,UKR,Xetaq QazyumovGiorgi Gogshelidze,AZEGEO,2012,Wrestling,,,,,
"Super-Heavyweight, Freestyle, Men",Komeil GhasemiBilyal Makhov,IRIRUS,â,â,Tervel DlagnevDaulet Shabanbay,USAKAZ,2012,Wrestling,,,,,
"Flyweight, Freestyle, Women",Hitomi Obara,JPN,Mariya Stadnik,AZE,Carol HuynhClarissa Chun,CANUSA,2012,Wrestling,,,,,
"Lightweight, Freestyle, Women",Saori Yoshida,JPN,Tonya Verbeek,CAN,Jackeline RenterÃ­aYuliya RatkeviÃ§,COLAZE,2012,Wrestling,,,,,
"Middleweight, Freestyle, Women",Kaori Icho,JPN,Jing Ruixue,CHN,Soronzonboldyn BattsetsegLyubov Volosova,MGLRUS,2012,Wrestling,,,,,
"Heavyweight, Freestyle, Women",Nataliya Vorobyova,RUS,Stanka Zlateva,BUL,Gyuzel ManyurovaMaider Unda,KAZESP,2012,Wrestling,,,,,
"Individual, Men",Gu Bon-Chan,KOR,Jean-Charles Valladont,FRA,Brady Ellison,USA,2016,Archery,,,,,
"Team, Men",Republic of Korea,KOR,United States,USA,Australia,AUS,2016,Archery,,,,,
"Individual, Women",Jang Hye-Jin,KOR,Lisa Unruh,GER,Gi Bo-Bae,KOR,2016,Archery,,,,,
"Team, Women",Republic of Korea,KOR,Russian Federation,RUS,Chinese Taipei,TPE,2016,Archery,,,,,
"Individual All-Around, Men",Kohei Uchimura,JPN,Oleh Verniaiev,UKR,Max Whitlock,GBR,2016,Artistic Gymnastics,,,,,
"Team All-Around, Men",Japan,JPN,Russian Federation,RUS,People's Republic of China,CHN,2016,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Max Whitlock,GBR,Diego HypÃ³lito,BRA,Arthur Mariano,BRA,2016,Artistic Gymnastics,,,,,
"Horse Vault, Men",Ri Se-Gwang,PRK,Denis Ablyazin,RUS,Kenzo Shirai,JPN,2016,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Oleh Verniaiev,UKR,Danell Leyva,USA,David Belyavsky,RUS,2016,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Fabian HambÃ¼chen,GER,Danell Leyva,USA,Nile Wilson,GBR,2016,Artistic Gymnastics,,,,,
"Rings, Men",Eleftherios Petrounias,GRE,Arthur Zanetti,BRA,Denis Ablyazin,RUS,2016,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Max Whitlock,GBR,Louis Smith,GBR,Alex Naddour,USA,2016,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Simone Biles,USA,Aly Raisman,USA,Aliya Mustafina,RUS,2016,Artistic Gymnastics,,,,,
"Team All-Around, Women",United States,USA,Russian Federation,RUS,People's Republic of China,CHN,2016,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Simone Biles,USA,Aly Raisman,USA,Amy Tinkler,GBR,2016,Artistic Gymnastics,,,,,
"Horse Vault, Women",Simone Biles,USA,Mariya Paseka,RUS,Giulia Steingruber,SUI,2016,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Aliya Mustafina,RUS,Madison Kocian,USA,Sophie Scheder,GER,2016,Artistic Gymnastics,,,,,
"Balance Beam, Women",Sanne Wevers,NED,Laurie Hernandez,USA,Simone Biles,USA,2016,Artistic Gymnastics,,,,,
"Duet, Women",Russian Federation,RUS,People's Republic of China,CHN,Japan,JPN,2016,Artistic Swimming,,,,,
"Team, Women",Russian Federation,RUS,People's Republic of China,CHN,Japan,JPN,2016,Artistic Swimming,,,,,
"100 metres, Men",Usain Bolt,JAM,Justin Gatlin,USA,Andre De Grasse,CAN,2016,Athletics,,,,,
"200 metres, Men",Usain Bolt,JAM,Andre De Grasse,CAN,Christophe LemaÃ®tre,FRA,2016,Athletics,,,,,
"400 metres, Men",Wayde van Niekerk,RSA,Kirani James,GRN,LaShawn Merritt,USA,2016,Athletics,,,,,
"800 metres, Men",David Rudisha,KEN,Taoufik Makhloufi,ALG,Clayton Murphy,USA,2016,Athletics,,,,,
"1,500 metres, Men",Matthew Centrowitz,USA,Taoufik Makhloufi,ALG,Nick Willis,NZL,2016,Athletics,,,,,
"5,000 metres, Men",Mo Farah,GBR,Paul Chelimo,USA,Hagos Gebrhiwet,ETH,2016,Athletics,,,,,
"10,000 metres, Men",Mo Farah,GBR,Paul Tanui,KEN,Tamirat Tola,ETH,2016,Athletics,,,,,
"Marathon, Men",Eliud Kipchoge,KEN,Feyisa Lilesa,ETH,Galen Rupp,USA,2016,Athletics,,,,,
"110 metres Hurdles, Men",Omar McLeod,JAM,Orlando Ortega,ESP,Dimitri Bascou,FRA,2016,Athletics,,,,,
"400 metres Hurdles, Men",Kerron Clement,USA,Boniface Tumuti,KEN,Yasmani Copello,TUR,2016,Athletics,,,,,
"3,000 metres Steeplechase, Men",Conseslus Kipruto,KEN,Evan Jager,USA,Mahiedine Mekhissi-Benabbad,FRA,2016,Athletics,,,,,
"4 Ã 100 metres Relay, Men",Jamaica,JAM,Japan,JPN,Canada,CAN,2016,Athletics,,,,,
"4 Ã 400 metres Relay, Men",United States,USA,Jamaica,JAM,The Bahamas,BAH,2016,Athletics,,,,,
"20 kilometres Walk, Men",Wang Zhen,CHN,Cai Zelin,CHN,Dane Bird-Smith,AUS,2016,Athletics,,,,,
"50 kilometres Walk, Men",Matej TÃ³th,SVK,Jared Tallent,AUS,Hirooki Arai,JPN,2016,Athletics,,,,,
"High Jump, Men",Derek Drouin,CAN,Mutaz Essa Barshim,QAT,Bohdan Bondarenko,UKR,2016,Athletics,,,,,
"Pole Vault, Men",Thiago Braz,BRA,Renaud Lavillenie,FRA,Sam Kendricks,USA,2016,Athletics,,,,,
"Long Jump, Men",Jeff Henderson,USA,Luvo Manyonga,RSA,Greg Rutherford,GBR,2016,Athletics,,,,,
"Triple Jump, Men",Christian Taylor,USA,Will Claye,USA,Dong Bin,CHN,2016,Athletics,,,,,
"Shot Put, Men",Ryan Crouser,USA,Joe Kovacs,USA,Tom Walsh,NZL,2016,Athletics,,,,,
"Discus Throw, Men",Christoph Harting,GER,Piotr MaÅachowski,POL,Daniel Jasinski,GER,2016,Athletics,,,,,
"Hammer Throw, Men",Dilshod Nazarov,TJK,Ivan Tsikan,BLR,Wojciech Nowicki,POL,2016,Athletics,,,,,
"Javelin Throw, Men",Thomas RÃ¶hler,GER,Julius Yego,KEN,Keshorn Walcott,TTO,2016,Athletics,,,,,
"Decathlon, Men",Ashton Eaton,USA,KÃ©vin Mayer,FRA,Damian Warner,CAN,2016,Athletics,,,,,
"100 metres, Women",Elaine Thompson,JAM,Tori Bowie,USA,Shelly-Ann Fraser-Pryce,JAM,2016,Athletics,,,,,
"200 metres, Women",Elaine Thompson,JAM,Dafne Schippers,NED,Tori Bowie,USA,2016,Athletics,,,,,
"400 metres, Women",Shaunae Miller,BAH,Allyson Felix,USA,Shericka Jackson,JAM,2016,Athletics,,,,,
"800 metres, Women",Caster Semenya,RSA,Francine Niyonsaba,BDI,Margaret Wambui,KEN,2016,Athletics,,,,,
"1,500 metres, Women",Faith Kibiegon,KEN,Genzebe Dibaba,ETH,Jenny Simpson,USA,2016,Athletics,,,,,
"5,000 metres, Women",Vivian Cheruiyot,KEN,Hellen Obiri,KEN,Almaz Ayana,ETH,2016,Athletics,,,,,
"10,000 metres, Women",Almaz Ayana,ETH,Vivian Cheruiyot,KEN,Tirunesh Dibaba,ETH,2016,Athletics,,,,,
"Marathon, Women",Jemima Sumgong,KEN,Eunice Kirwa,BRN,Mare Dibaba,ETH,2016,Athletics,,,,,
"100 metres Hurdles, Women",Brianna Rollins,USA,Nia Ali,USA,Kristi Castlin,USA,2016,Athletics,,,,,
"400 metres Hurdles, Women",Dalilah Muhammad,USA,Sara Slott Petersen,DEN,Ashley Spencer,USA,2016,Athletics,,,,,
"3,000 metres Steeplechase, Women",Ruth Jebet,BRN,Hyvin Kiyeng,KEN,Emma Coburn,USA,2016,Athletics,,,,,
"4 Ã 100 metres Relay, Women",United States,USA,Jamaica,JAM,Great Britain,GBR,2016,Athletics,,,,,
"4 Ã 400 metres Relay, Women",United States,USA,Jamaica,JAM,Great Britain,GBR,2016,Athletics,,,,,
"20 kilometres Walk, Women",Liu Hong,CHN,MarÃ­a Guadalupe GonzÃ¡lez,MEX,Lu Xiuzhi,CHN,2016,Athletics,,,,,
"High Jump, Women",Ruth BeitÃ­a,ESP,Mirela Demireva,BUL,Blanka VlaÅ¡iÄ,CRO,2016,Athletics,,,,,
"Pole Vault, Women",Ekaterini Stefanidi,GRE,Sandi Morris,USA,Eliza McCartney,NZL,2016,Athletics,,,,,
"Long Jump, Women",Tianna Bartoletta,USA,Brittney Reese,USA,Ivana Å panoviÄ,SRB,2016,Athletics,,,,,
"Triple Jump, Women",Caterine IbargÃ¼en,COL,Yulimar Rojas,VEN,Olga Rypakova,KAZ,2016,Athletics,,,,,
"Shot Put, Women",Michelle Carter,USA,Valerie Adams,NZL,Anita MÃ¡rton,HUN,2016,Athletics,,,,,
"Discus Throw, Women",Sandra PerkoviÄ,CRO,MÃ©lina Robert-Michon,FRA,Denia Caballero,CUB,2016,Athletics,,,,,
"Hammer Throw, Women",Anita WÅodarczyk,POL,Zhang Wenxiu,CHN,Sophie Hitchon,GBR,2016,Athletics,,,,,
"Javelin Throw, Women",Sara Kolak,CRO,Sunette Viljoen,RSA,Barbora Å potÃ¡kovÃ¡,CZE,2016,Athletics,,,,,
"Heptathlon, Women",Nafi Thiam,BEL,Jessica Ennis-Hill,GBR,Brianne Theisen-Eaton,CAN,2016,Athletics,,,,,
"Singles, Men",Chen Long,CHN,Lee Chong Wei,MAS,Viktor Axelsen,DEN,2016,Badminton,,,,,
"Doubles, Men",People's Republic of China 1,CHN,Malaysia,MAS,Great Britain,GBR,2016,Badminton,,,,,
"Singles, Women",Carolina MarÃ­n,ESP,P. V. Sindhu,IND,Nozomi Okuhara,JPN,2016,Badminton,,,,,
"Doubles, Women",Japan,JPN,Denmark,DEN,Republic of Korea 1,KOR,2016,Badminton,,,,,
"Doubles, Mixed",Indonesia 1,INA,Malaysia,MAS,People's Republic of China 1,CHN,2016,Badminton,,,,,
"Basketball, Men",United States,USA,Serbia,SRB,Spain,ESP,2016,Basketball,,,,,
"Basketball, Women",United States,USA,Spain,ESP,Serbia,SRB,2016,Basketball,,,,,
"Beach Volleyball, Men",Brazil 1,BRA,Italy 1,ITA,Netherlands 1,NED,2016,Beach Volleyball,,,,,
"Beach Volleyball, Women",Germany 1,GER,Brazil 1,BRA,United States 1,USA,2016,Beach Volleyball,,,,,
"Light-Flyweight, Men",Hasanboy Dusmatov,UZB,YuberjÃ©n MartÃ­nez,COL,Joahnys ArgilagosNico Hernandez,CUBUSA,2016,Boxing,,,,,
"Flyweight, Men",Shakhobiddin Zoirov,UZB,Yoel Finol,VEN,Hu Jianguan,CHN,2016,Boxing,,,,,
"Bantamweight, Men",Robeisy RamÃ­rez,CUB,Shakur Stevenson,USA,Vladimir NikitinMurodzhon Akhmadaliyev,RUSUZB,2016,Boxing,,,,,
"Lightweight, Men",Robson ConceiÃ§Ã£o,BRA,Sofiane Oumiha,FRA,LÃ¡zaro ÃlvarezDorjnyambuugiin Otgondalai,CUBMGL,2016,Boxing,,,,,
"Light-Welterweight, Men",Fazliddin Gaybnazarov,UZB,Lorenso Sotomayor,AZE,Vitaly DunaytsevArtem Harutyunyan,RUSGER,2016,Boxing,,,,,
"Welterweight, Men",Daniyar Yeleusinov,KAZ,Shakhram Giyasov,UZB,Mohammed RabiiSouleymane Cissokho,MARFRA,2016,Boxing,,,,,
"Middleweight, Men",Arlen LÃ³pez,CUB,Bektemir Melikuziyev,UZB,Kamran ÅahsuvarlÄ±Misael RodrÃ­guez,AZEMEX,2016,Boxing,,,,,
"Light-Heavyweight, Men",Julio CÃ©sar la Cruz,CUB,Adilbek Niyazymbetov,KAZ,Mathieu BauderliqueJoshua Buatsi,FRAGBR,2016,Boxing,,,,,
"Heavyweight, Men",Yevgeny Tishchenko,RUS,Vasily Levit,KAZ,Rustam TulaganovErislandy SavÃ³n,UZBCUB,2016,Boxing,,,,,
"Super-Heavyweight, Men",Tony Yoka,FRA,Joe Joyce,GBR,Filip HrgoviÄIvan Dychko,CROKAZ,2016,Boxing,,,,,
"Flyweight, Women",Nicola Adams,GBR,Sarah Ourahmoune,FRA,Ren CancanIngrit Valencia,CHNCOL,2016,Boxing,,,,,
"Lightweight, Women",Estelle Mossely,FRA,Yin Junhua,CHN,Mira PotkonenAnastasiya Belyakova,FINRUS,2016,Boxing,,,,,
"Middleweight, Women",Claressa Shields,USA,Nouchka Fontijn,NED,Dariga ShakimovaLi Qian,KAZCHN,2016,Boxing,,,,,
"Kayak Singles, Slalom, Men",Joe Clarke,GBR,Peter Kauzer,SLO,JiÅÃ­ Prskavec,CZE,2016,Canoe Slalom,,,,,
"Canadian Singles, Slalom, Men",Denis Gargaud Chanut,FRA,Matej BeÅuÅ¡,SVK,Takuya Haneda,JPN,2016,Canoe Slalom,,,,,
"Canadian Doubles, Slalom, Men",Slovakia,SVK,Great Britain,GBR,France,FRA,2016,Canoe Slalom,,,,,
"Kayak Singles, Slalom, Women",Maialen Chourraut,ESP,Luuka Jones,NZL,Jess Fox,AUS,2016,Canoe Slalom,,,,,
"Kayak Singles, 200 metres, Men",Liam Heath,GBR,Maxime Beaumont,FRA,SaÃºl CraviottoRonny Rauhe,ESPGER,2016,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Marcus Walz,ESP,Josef DostÃ¡l,CZE,Roman Anoshkin,RUS,2016,Canoe Sprint,,,,,
"Kayak Doubles, 200 metres, Men",Spain,ESP,Great Britain,GBR,Lithuania,LTU,2016,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Germany,GER,Serbia,SRB,Australia,AUS,2016,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Germany,GER,Slovakia,SVK,Czech Republic,CZE,2016,Canoe Sprint,,,,,
"Canadian Singles, 200 metres, Men",Yuriy Cheban,UKR,Valentin Demyanenko,AZE,Isaquias Queiroz,BRA,2016,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Sebastian Brendel,GER,Isaquias Queiroz,BRA,Ilya Shtokalov,RUS,2016,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Germany,GER,Brazil,BRA,Ukraine,UKR,2016,Canoe Sprint,,,,,
"Kayak Singles, 200 metres, Women",Lisa Carrington,NZL,Marta Walczykiewicz,POL,Ä°nna Osipenko-Radomska,AZE,2016,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Danuta KozÃ¡k,HUN,Emma JÃ¸rgensen,DEN,Lisa Carrington,NZL,2016,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Hungary,HUN,Germany,GER,Poland,POL,2016,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",Hungary,HUN,Germany,GER,Belarus,BLR,2016,Canoe Sprint,,,,,
"BMX, Men",Connor Fields,USA,Jelle van Gorkom,NED,Carlos RamÃ­rez,COL,2016,Cycling BMX Racing,,,,,
"BMX, Women",Mariana PajÃ³n,COL,Alise Post,USA,Stefany HernÃ¡ndez,VEN,2016,Cycling BMX Racing,,,,,
"Cross-Country, Men",Nino Schurter,SUI,Jaroslav KulhavÃ½,CZE,Carlos Coloma,ESP,2016,Cycling Mountain Bike,,,,,
"Cross-Country, Women",Jenny Rissveds,SWE,Maja WÅoszczowska,POL,Catharine Pendrel,CAN,2016,Cycling Mountain Bike,,,,,
"Road Race, Individual, Men",Greg Van Avermaet,BEL,Jakob Fuglsang,DEN,RafaÅ Majka,POL,2016,Cycling Road,,,,,
"Individual Time Trial, Men",Fabian Cancellara,SUI,Tom Dumoulin,NED,Chris Froome,GBR,2016,Cycling Road,,,,,
"Road Race, Individual, Women",Anna van der Breggen,NED,Emma Johansson,SWE,Elisa Longo Borghini,ITA,2016,Cycling Road,,,,,
"Individual Time Trial, Women",Kristin Armstrong,USA,Olga Zabelinskaya,RUS,Anna van der Breggen,NED,2016,Cycling Road,,,,,
"Sprint, Men",Jason Kenny,GBR,Callum Skinner,GBR,Denis Dmitriyev,RUS,2016,Cycling Track,,,,,
"Keirin, Men",Jason Kenny,GBR,Matthijs B�chli,NED,Mohd Azizulhasni Bin Awang,MAS,2016,Cycling Track,,,,,
"Team Sprint, Men",Great Britain,GBR,New Zealand,NZL,France,FRA,2016,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Great Britain,GBR,Australia,AUS,Denmark,DEN,2016,Cycling Track,,,,,
"Omnium, Men",Elia Viviani,ITA,Mark Cavendish,GBR,Lasse Norman Hansen,DEN,2016,Cycling Track,,,,,
"Sprint, Women",Kristina Vogel,GER,Becky James,GBR,Katy Marchant,GBR,2016,Cycling Track,,,,,
"Keirin, Women",Elis Ligtlee,NED,Becky James,GBR,Anna Meares,AUS,2016,Cycling Track,,,,,
"Team Sprint, Women",People's Republic of China,CHN,Russian Federation,RUS,Germany,GER,2016,Cycling Track,,,,,
"Team Pursuit, Women",Great Britain,GBR,United States,USA,Canada,CAN,2016,Cycling Track,,,,,
"Omnium, Women",Laura Trott,GBR,Sarah Hammer,USA,Jolien D'hoore,BEL,2016,Cycling Track,,,,,
"Springboard, Men",Cao Yuan,CHN,Jack Laugher,GBR,Patrick Hausding,GER,2016,Diving,,,,,
"Platform, Men",Chen Aisen,CHN,Germ�n S�nchez,MEX,David Boudia,USA,2016,Diving,,,,,
"Synchronized Springboard, Men",Great Britain,GBR,United States,USA,People's Republic of China,CHN,2016,Diving,,,,,
"Synchronized Platform, Men",People's Republic of China,CHN,United States,USA,Great Britain,GBR,2016,Diving,,,,,
"Springboard, Women",Shi Tingmao,CHN,He Zi,CHN,Tania Cagnotto,ITA,2016,Diving,,,,,
"Platform, Women",Ren Qian,CHN,Si Yajie,CHN,Meaghan Benfeito,CAN,2016,Diving,,,,,
"Synchronized Springboard, Women",People's Republic of China,CHN,Italy,ITA,Australia,AUS,2016,Diving,,,,,
"Synchronized Platform, Women",People's Republic of China,CHN,Malaysia,MAS,Canada,CAN,2016,Diving,,,,,
"Individual, Open",Charlotte Dujardin,GBR,Isabell Werth,GER,Kristina BrÃ¶ring-Sprehe,GER,2016,Equestrian Dressage,,,,,
"Team, Open",Germany,GER,Great Britain,GBR,United States,USA,2016,Equestrian Dressage,,,,,
